--- When using SR data, please cite us and provide a link and/or a mention.



,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
63,Corsley Edwards,2005,2005,1,10,110,10,31,0,0,7,12,12,25,3,3,4,2,19,27,.323,,.583,11.0,2.7,2.5,0.3,0.3,0.4,edwarco01
64,Melvin Ely,2008,2014,3,85,1021,125,281,0,0,55,94,58,210,40,9,28,65,142,305,.445,,.585,12.0,3.6,2.5,0.5,0.1,0.3,elyme01
65,James Ennis III,2016,2016,1,9,282,50,100,24,50,19,24,17,35,18,12,3,17,26,143,.500,.480,.792,31.3,15.9,3.9,2.0,1.3,0.3,ennisja01
66,Tyreke Evans,2014,2017,4,202,5957,1139,2603,144,477,560,752,184,972,1139,239,70,533,460,2982,.438,.302,.745,29.5,14.8,4.8,5.6,1.2,0.3,evansty01
67,Patrick Ewing,2011,2011,1,7,19,0,5,0,2,3,4,1,2,2,0,1,1,1,3,.000,.000,.750,2.7,0.4,0.3,0.3,0.0,0.1,ewingpa02
68,Derrick Favors,2020,2020,1,51,1243,209,339,1,7,40,71,163,501,81,30,46,55,107,459,.617,.143,.563,24.4,9.0,9.8,1.6,0.6,0.9,favorde01
69,Marcus Fizer,2006,2006,1,3,39,9,17,1,1,1,2,1,7,1,0,0,2,5,20,.529,1.000,.500,13.0,6.7,2.3,0.3,0.0,0.0,fizerma01
70,Jeff Foote,2012,2012,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,.333,,,9.8,1.0,1.5,0.0,0.0,0.3,footeje01
71,Tim Frazier,2016,2019,3,128,2903,327,768,80,236,175,229,81,381,661,104,11,199,268,909,.426,.339,.764,22.7,7.1,3.0,5.2,0.8,0.1,fraziti01
72,Jimmer Fredette,2015,2016,2,54,522,64,170,9,49,43,45,8,40,59,16,2,34,44,180,.376,.184,.956,9.7,3.3,0.7,1.1,0.3,0.0,fredeji01
73,Matt Freije,2005,2005,1,23,441,37,127,14,54,5,8,16,61,20,13,2,17,40,93,.291,.259,.625,19.2,4.0,2.7,0.9,0.6,0.1,freijma01
74,Wenyen Gabriel,2021,2021,1,21,241,24,60,13,32,11,17,20,54,11,9,8,15,32,72,.400,.406,.647,11.5,3.4,2.6,0.5,0.4,0.4,gabriwe01
75,Langston Galloway,2017,2017,1,55,1120,165,441,101,268,40,52,20,121,65,40,5,28,76,471,.374,.377,.769,20.4,8.6,2.2,1.2,0.7,0.1,gallola01
76,Alex Garcia,2005,2005,1,8,146,18,52,5,18,3,4,7,15,18,4,1,8,15,44,.346,.278,.750,18.3,5.5,1.9,2.3,0.5,0.1,garcial01
77,Kaiser Gates,2024,2024,1,1,7,0,4,0,2,0,0,0,1,0,0,0,0,0,0,.000,.000,,7.0,0.0,1.0,0.0,0.0,0.0,gateska01
78,Alonzo Gee,2016,2016,1,73,1632,132,255,17,60,44,66,60,245,72,63,13,55,169,325,.518,.283,.667,22.4,4.5,3.4,1.0,0.9,0.2,geeal01
79,Archie Goodwin,2017,2017,1,3,30,2,5,1,2,10,10,0,0,1,0,1,0,1,15,.400,.500,1.000,10.0,5.0,0.0,0.3,0.0,0.3,goodwar01
80,Eric Gordon,2012,2016,5,221,7130,1170,2787,421,1080,629,768,80,525,726,225,52,470,452,3390,.420,.390,.819,32.3,15.3,2.4,3.3,1.0,0.2,gordoer01
81,Devonte' Graham,2022,2023,2,129,2973,381,1046,258,753,162,199,49,249,432,101,22,132,143,1182,.364,.343,.814,23.0,9.2,1.9,3.3,0.8,0.2,grahade01
82,Aaron Gray,2010,2011,2,65,792,90,160,0,0,35,55,99,261,36,20,23,49,140,215,.563,,.636,12.2,3.3,4.0,0.6,0.3,0.4,grayaa01
83,Josh Gray,2020,2020,1,2,23,1,2,0,0,0,0,1,2,2,0,0,5,1,2,.500,,,11.5,1.0,1.0,1.0,0.0,0.0,grayjo01
84,Willie Green,2011,2011,1,77,1674,270,609,54,155,78,100,22,161,74,36,13,67,143,672,.443,.348,.780,21.7,8.7,2.1,1.0,0.5,0.2,greenwi01
